"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CICP27",6.53421237408976,4.08605987621707,4.17631288231365,0.978389309268757,0.327881813657035,NA
"WASH9P",475.078644235356,-0.76817605397186,0.523196211799137,-1.46823703354101,0.142039847974084,0.646537200315215
"MTND1P23",7534.45182853957,-6.55032598858197,0.628321194790461,-10.425123396906,1.90412011195126e-25,1.02327414816261e-21
"MTND2P28",310.200352494448,1.01663986461023,0.847702397039064,1.19928865149049,0.230415726288886,0.763230066987057
"MTCO1P12",63.9035063391287,-1.96217141808384,1.12850205966905,-1.73873977568041,0.0820805461794117,0.529744822059438
"MTCO2P12",293.341381830189,0.106576860768389,0.941462367657584,0.113203527224948,0.909869199324726,0.997894714965317
"MTATP8P1",2.3261001665557,-0.643070556998747,3.63512996836819,-0.176904419537831,0.859583467087195,NA
"MTATP6P1",10265.1756705162,-0.169142971210134,0.461163761949427,-0.366774202932021,0.713787451710879,0.980273135730129
"MTCO3P12",24.0256844849217,-0.716938750664779,1.47863243263474,-0.484866106573412,0.627771326124557,0.960546189211569
"LINC01409",7.27542059005127,-0.81466965404943,2.67904144403359,-0.304089978101591,0.761059341849959,NA
"LINC01128",179.838691898286,0.933758034176812,0.565968768358909,1.64984021447747,0.0989756212844487,0.565792168906293
"LINC00115",17.3102289677931,-6.11958803903279,2.29440399508133,-2.66717982192838,0.00764907331402468,0.180289999954248
"LINC02593",2.87362907045031,-6.11090326586407,7.22990218336193,-0.845226271515402,0.397984516789155,NA
"NOC2L",125.191854926493,-0.128896807047064,0.754264129991717,-0.170890808566595,0.864309624052274,0.997121710793383
"KLHL17",260.754480776216,0.536006009331353,0.560743563310934,0.955884372825401,0.339130654991606,0.843025400495401
"PLEKHN1",34.3888738639274,5.23968378324596,2.51440441444856,2.08386676110537,0.0371722885520231,0.372693803504799
"HES4",648.608050363225,-0.387356159685394,0.454089694299826,-0.853038869958653,0.39363774917253,0.870897185695008
"ISG15",225.302502396563,-1.96653412438144,0.610378205010028,-3.2218288730495,0.00127375187206533,0.0673292710866797
"AGRN",508.075207948374,-0.122278546463295,0.501167313716549,-0.243987473078608,0.807240521822791,0.992985425526202
"RNF223",47.955165579335,-0.816122009161851,2.94653270559605,-0.276977074651801,0.781797709518243,0.990536861263194
"C1orf159",90.60373084054,-0.787962908622266,0.842018225179099,-0.935802676307469,0.349374793295649,0.8497219992169
"MIR200A",1.43624750767227,-1.13683044814134,7.51631777818202,-0.151248321543998,0.879779833622611,NA
"TTLL10",1.30647692309627,1.08579517816741,7.48970617584144,0.144971665466626,0.884733243104368,NA
"TNFRSF18",1.34356428540201,1.24039644011859,7.48029143343822,0.165821940382403,0.868297079230897,NA
"TNFRSF4",17.6028027033814,5.00743236178662,6.98935346630475,0.716437133409714,0.47372147292346,0.907468887108926
"SDF4",5729.20998103184,-0.0930376945969574,0.328355481061327,-0.283344423842831,0.776912826630484,0.989303282769629
"B3GALT6",1700.50509366581,-0.138385629956587,0.330705752175747,-0.418455466970663,0.675614139824257,0.970565480241038
"C1QTNF12",1.39383420277361,1.27335248243007,7.50960931706204,0.169563079604817,0.865353760214936,NA
"UBE2J2",2489.55762907761,-0.137515598134761,0.206303498972389,-0.666569393247014,0.505047224708691,0.927588443467023
"LINC01786",2.01402327805663,-0.266454970320637,7.51325053461369,-0.0354646725931837,0.971709215830881,NA
"SCNN1D",62.9391648193425,-0.262733980811136,0.767249458238205,-0.342436189416724,0.732022657651267,0.982351003774924
"ACAP3",396.384939986481,0.315159107321382,0.546020663271662,0.577192638522145,0.563809329412236,0.945133037692001
"PUSL1",96.9662072242847,1.48947370623864,0.921269416747445,1.61676234895243,0.105929589577102,0.581839537367313
"INTS11",626.000206059888,0.0217476887345379,0.429554443298709,0.0506284804494845,0.959621567804715,0.99923753558823
"CPTP",295.272409805006,-0.473366633948488,0.408126047192624,-1.15985401374069,0.24610824838639,0.775827496694888
"TAS1R3",1.8122498335757,0.00535353741923563,7.48155990809398,0.000715564332171405,0.999429062315822,NA
"DVL1",600.818779164676,0.101774623062493,0.549676592556578,0.185153642051836,0.85310852861576,0.996390146649515
"MXRA8",227.733657591767,3.61197551355956,0.934362068831141,3.86571291156761,0.000110765171177246,0.013517105823419
"AURKAIP1",1664.28782155915,0.327454865220111,0.327863119322342,0.998754803214602,0.317913485378726,0.831413191808302
"CCNL2",2786.46900089954,-0.156181016053761,0.371338170320117,-0.420589717235702,0.67405470368081,0.970020983209132
"MRPL20-AS1",23.2455281232543,-0.427990671304115,1.47001285580086,-0.291147570319001,0.770938459127583,0.988465581291048
"MRPL20",921.634785437866,-0.035061735234552,0.416903008743834,-0.0841004610165711,0.93297655810604,0.997894714965317
"MRPL20-DT",30.057378247498,-1.89219089305068,2.48247138543666,-0.762220625845341,0.4459283378404,0.896028836252025
"ANKRD65",29.3909843243033,0.966321167163562,2.8256177343554,0.341985809125736,0.732361571781736,0.982351003774924
"ANKRD65-AS1",0.778486670786424,-1.007442455546,7.51789619357575,-0.134005901332728,0.893397907939119,NA
"VWA1",605.613959312874,0.951128331209255,0.8886699677789,1.07028296858783,0.284491958209782,0.803394526231934
"ATAD3C",50.1461104404034,11.7836001771762,4.83788764761069,2.435691160169,0.0148633687586034,0.254215476479184
"ATAD3B",99.3747770548233,-0.252766492153792,0.698950373722155,-0.361637251594447,0.71762312339899,0.980852110929876
"ATAD3A",263.567801041439,0.849088901704697,0.55064906661058,1.5419782819775,0.123078871271125,0.617962492255707
"TMEM240",30.3816295629211,0.947205758240312,1.49694432594848,0.632759510037324,0.52689070152606,0.934428387484054
"SSU72",1746.98314003647,-0.0552729899693547,0.290149464075812,-0.190498335557541,0.848918647338877,0.996239880436738
"FNDC10",126.841250509519,-0.59978774760356,0.613085759767104,-0.978309703085265,0.327921172337274,0.836649492435402
"MIB2",313.527842347774,-0.378396193543169,0.488102441576543,-0.775239296736504,0.438198271603061,0.891455522040416
"CDK11B",527.361715446305,0.59274885118719,0.327770108205509,1.80842864052613,0.0705398137309247,0.493479066443135
"SLC35E2B",894.2637482721,3.97368093556369,0.378068942250035,10.5104664559717,7.73102114620068e-26,6.23197614595237e-22
"CDK11A",20.2914475912891,0.0638528394936249,2.0101395913927,0.0317653757813831,0.974659158817508,0.99923753558823
"SLC35E2A",61.9564526786236,-1.24441856525875,1.1308311802312,-1.10044592598192,0.27113787765139,0.79649107310246
"NADK",384.114749487127,0.387707866495073,0.469584476918004,0.825640295947799,0.409008169507476,0.879041684345684
"GNB1",8031.89588240484,0.0628385916685024,0.250818543304991,0.250534074715886,0.802174356896208,0.992985425526202
"GNB1-DT",6.22140173887676,6.23014085390643,4.86261784397784,1.28123184955244,0.200112242237798,NA
"TMEM52",20.7333262256038,1.17598676997903,4.05904929976417,0.289719755324814,0.772030641654951,0.988465581291048
"CFAP74",9.86584706729964,-1.41505254062022,5.2514542036344,-0.269459179448026,0.787576350908099,0.991312708164197
"GABRD",3.66109134537561,-1.55078886183544,7.37685400924542,-0.210223607501496,0.833493155111626,NA
"PRKCZ-DT",1.3233208023367,2.82994887945237,7.41753148867738,0.381521653635336,0.702816206789536,NA
"PRKCZ",3.32282544592882,-5.80757378498566,7.2453125849103,-0.801562902486913,0.422805844098081,NA
"FAAP20",328.136010319902,-0.580668021071067,0.559255273197448,-1.03828796776684,0.299136008723068,0.813918539051268
"SKI",2323.79090563765,0.0296010699239026,0.302618678579862,0.0978164007020827,0.922078083960986,0.997894714965317
"MORN1",85.678778260537,-0.235452425634768,0.611156304139208,-0.385257296766977,0.700046796513459,0.977834017241799
"RER1",2377.18821237701,0.00881021440821184,0.275089983960634,0.0320266637169625,0.974450787229391,0.99923753558823
"PEX10",10.7335293175592,-6.49349027205955,4.28165043517185,-1.51658580502472,0.129371291518287,0.628230108993318
"PLCH2",27.3875975849087,0.870188585665781,1.2897479646415,0.674696614782147,0.499868535734288,0.92351367372567
"PANK4",40.8463343085655,-1.98644421620205,1.05977122056677,-1.87440853049369,0.0608741386315318,0.464684120746949
